ID,Sub Tag Path,FIELD <Equip_Description>
Line1_Mixer_46,[default]SPG/Line 1/Mixer/SYS_1_LIW/SE/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_47,[default]SPG/Line 1/Mixer/SYS_1_LIW/SF/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_48,[default]SPG/Line 1/Mixer/SYS_1_LIW/SS/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_49,[default]SPG/Line 1/Mixer/SYS_1_LIW/UT/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_50,[default]SPG/Line 1/Mixer/SYS_1_LIW/ZT/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_51,[default]SPG/Line 1/Mixer/SYS_7_GIW/HR/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_52,[default]SPG/Line 1/Mixer/SYS_7_GIW/LR/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_53,[default]SPG/Line 1/Mixer/SYS_7_GIW/OC/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_54,[default]SPG/Line 1/Mixer/SYS_7_GIW/OT/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_55,[default]SPG/Line 1/Mixer/SYS_7_GIW/SD/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_56,[default]SPG/Line 1/Mixer/SYS_7_GIW/SE/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_57,[default]SPG/Line 1/Mixer/SYS_7_GIW/SF/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_58,[default]SPG/Line 1/Mixer/SYS_7_GIW/SS/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_59,[default]SPG/Line 1/Mixer/SYS_7_GIW/UT/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_60,[default]SPG/Line 1/Mixer/SYS_7_GIW/ZT/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_61,[default]SPG/Line 1/Mixer/SYS_5_LIW/HR/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_62,[default]SPG/Line 1/Mixer/SYS_5_LIW/LR/Equip_Description,Line 1 LIW FEEDER 5
